kepid,tce_plnt_num,tce_rogue_flag,tce_period,tce_period_err,tce_time0bk,tce_time0bk_err,tce_impact,tce_impact_err,tce_duration,tce_duration_err,tce_depth,tce_depth_err,tce_model_snr,tce_prad,tce_prad_err,tce_eqt,tce_eqt_err,tce_insol,tce_insol_err,tce_steff,tce_steff_err,tce_slogg,tce_slogg_err,tce_sradius,tce_sradius_err,av_training_set
7777365,1,,0.885127,1.02E-05,131.883,0.00396334,0.847,1.108,2.788,4.289,163.3,22.19,10.5,1.2,0.9171,1660,331,,,5392,210,4.52,0.24,0.819,0.32,AFP
5301474,1,,4.76496,3.20E-05,133.846,0.00444554,0.3,5.877,8.883,0.9832,33.14,3.742,9.224,0.8304,0.2967,1420,428,,,6609,222,4.23,0.34,1.422,0.851,UNK
3745690,3,,7.02574,2.56E-05,133.628,0.00285119,0.4974,3.218,2.195,0.1434,187.6,11.12,18.16,1.422,0.6755,970,91.4,,,5767,113,4.39,0.14,1.014,0.187,PC
8752914,1,,1.08828,1.42E-05,132.183,0.00521659,0.4635,3.974,3.11,1.262,19.83,2.807,8.545,0.4374,0.2263,1760,394,,,5907,182,4.49,0.31,0.964,0.427,UNK
3853654,2,,0.595591,1.30E-05,131.737,0.00145129,0.09185,35.53,2,1.129,134.9,19.1,13.05,2.389,1.327,3870,1150,,,8037,319,4.09,0.35,2.027,1.19,AFP
5094301,2,,0.99523,8.34E-06,131.965,0.00162523,0.7001,0.3187,1.53,0.07353,9.79,1.119,12.06,0.2621,0.02924,1620,353,,,5506,176,4.51,0.29,0.782,0.337,AFP
6960377,1,,0.970125,1.03E-05,132.489,0.0033852,0.2244,12.56,6.476,15.28,11.9,1.194,11.62,1.088,0.5597,3890,651,,,7872,321,3.79,0.26,3.109,1.009,UNK
10875245,2,,3.18002,5.88E-06,133.5,0.00109788,0.007813,233.8,3.536,0.05967,119.4,3.11,40.85,1.524,0.6382,1460,30.7,,,5851,75,4.19,0.02,1.411,0.047,PC
8636600,1,,6.38668,1.77E-05,131.533,0.0019364,0.6976,1.255,1.216,0.1171,214.7,16.36,15.46,1.276,0.5993,811,354,,,5071,170,4.5,0.64,0.811,0.705,PC
5603049,3,,0.5856,1.62E-05,131.591,0.0017335,0.3302,9.083,1.345,0.371,105.5,17.66,12.67,3.707,2.187,5080,885,,,8211,342,3.69,0.28,3.523,1.191,AFP
8509703,1,,1.84789,1.59E-05,131.581,0.00471731,0.6974,2.407,3.672,1.164,123.2,13.84,10.2,1.153,0.9106,1420,299,,,5665,188,4.49,0.29,0.974,0.405,UNK
6541920,4,,118.379,0.00033718,168.91,0.0024955,0.4754,0.6639,9.668,0.3042,1109,18.6,60.05,3.538,0.3429,377,15.4,,,5657,107,4.36,0.06,1.046,0.076,PC
3765771,1,,2.78388,2.15E-06,133.23,0.000459881,0.9682,0.006658,2.193,0.04215,888.8,17.68,82.12,4.015,0.2317,1440,325,,,6369,221,4.43,0.3,1.023,0.458,AFP
2718944,1,,0.693213,1.24E-05,131.693,0.00326993,0.4987,1.541,1.874,0.3252,8.832,1.433,8.185,0.9381,0.1748,4740,863,,,8572,365,3.78,0.31,3.034,1.075,AFP
10398659,1,,3.41214,9.48E-05,133.906,0.0195863,0.8929,0.009854,11.76,0.4525,81.19,7.926,10.09,0.448,0.02243,550,33.7,,,3539,50,4.84,0.06,0.42,0.05,UNK
10553627,1,,0.712747,2.78E-05,131.649,0.0113772,0.8937,1.958,2.193,13.89,17.72,5.968,4.014,0.43,0.7533,1890,397,,,5717,166,4.55,0.29,0.864,0.36,UNK
7338125,1,,0.956629,0.000310382,131.991,0.107732,0.02113,1636,7.274,249.1,0.3772,0.4693,0.993,0.1569,0.9397,3720,602,,,8104,325,3.9,0.24,2.533,0.796,NTP
11657371,3,,1.19774,8.76E-06,132.689,0.00191195,0.9,0.2587,2.587,0.8211,123.5,13.25,10.55,2.221,0.453,2640,991,,,7328,313,4.17,0.41,1.725,1.284,AFP
5370646,1,,1.01611,8.02E-06,132.111,0.00133618,0.3,4.489,3.463,1.005,107.1,8.824,13.9,1.522,0.3766,2580,886,,,7216,297,4.25,0.38,1.44,0.982,AFP
7459411,2,,0.844531,1.98E-05,132.31,0.0030931,0.9001,0.3967,1.735,1.043,20.56,3.802,10.47,0.721,0.2345,2490,878,,,6740,234,4.3,0.4,1.362,0.954,AFP
1849235,2,,0.604581,9.82E-06,131.88,0.00164759,0.7,2.068,1.187,0.1519,523.7,66.29,12.04,4.105,2.144,3020,749,,,6477,250,4.08,0.26,1.667,0.818,AFP
4077006,1,,1.08303,1.19E-05,132.556,0.00510335,0.7022,4.389,3.163,4.8,83.37,10.43,10.52,1.322,1.47,2260,600,,,6394,219,4.21,0.28,1.352,0.713,AFP
3109924,1,,1.12617,1.14E-05,132.225,0.00281305,0.5,1.674,3.424,0.7704,22.18,2.594,9.845,0.5323,0.1112,2070,355,,,6468,186,4.34,0.23,1.093,0.37,NTP
10191070,1,,1.21368,3.25E-05,131.772,0.00707467,0.5,10.96,1.273,0.3338,43.15,18.03,3.24,0.4407,0.9329,1250,81.4,,,4820,156,4.61,0.06,0.661,0.075,AFP
8299947,1,,2.68277,3.45E-07,131.568,0.000114273,0.4665,0.03144,4.541,0.005995,393800,782.9,1127,68.47,1.488,1310,5.62E-05,,,5780,0,4.44,0,1,0,AFP
4150496,1,,8.65319,3.61E-05,136.647,0.00326427,0.6972,2.191,2.526,0.4943,419.6,24.3,18.71,1.955,1.237,857,183,,,5880,178,4.53,0.3,0.893,0.377,AFP
4488840,2,,0.656668,1.17E-05,131.72,0.00248673,0.0761,76.81,1.506,0.6314,143.7,23.46,9.471,4.873,5.021,4720,881,,,7348,304,3.55,0.29,4.006,1.457,AFP
6515246,1,,1.14794,1.86E-05,131.794,0.00699561,0.5287,1.896,4.813,2.758,7.551,0.918,8.897,0.9197,0.2283,3890,714,,,8124,337,3.73,0.3,3.22,1.15,UNK
6198999,1,,3.93247,8.51E-06,132.552,0.00150597,0.9599,0.01052,2.583,0.1289,497.5,19.89,31.44,2.371,0.09759,894,807,,,4841,143,4.53,0.86,0.779,1.405,PC
6762992,1,,0.695378,4.90E-05,131.514,0.0120332,0.8239,3.961,2.688,19.18,76.67,47.95,2.1,3.333,6.215,4480,838,,,7666,302,3.67,0.29,3.404,1.244,UNK
5480766,2,,4.32309,3.00E-05,135.014,0.00440854,0.003025,801.5,14.26,5.526,162.5,14.77,12.89,1.348,0.587,1270,260,,,6517,231,4.43,0.28,1.051,0.422,NTP
7467539,1,,0.980128,8.81E-06,132.356,0.0037464,0.09209,44.51,5.064,9.405,37.6,3.304,13.75,1.473,1.017,3370,832,,,7671,302,3.96,0.29,2.368,1.153,NTP
5735878,1,,16.8321,5.20E-07,133.175,2.72E-05,0.2473,0.00207,7.804,0.001713,49140,9.926,5406,23.95,0.003921,821,131,,,6295,175,4.31,0.22,1.066,0.336,AFP
6292732,1,,1.25334,1.03E-05,132.663,0.00326766,0.2007,19.81,3.793,2.429,36.88,3.567,11.96,0.7047,0.6099,1890,314,,,5861,166,4.25,0.21,1.16,0.379,UNK
5302006,1,,6.14631,1.25E-05,132.75,0.00153606,0.3003,7.258,3.187,0.3322,651.8,18.58,40.46,3.397,1.499,1260,334,,,6725,296,4.33,0.32,1.31,0.686,AFP
3541946,2,,1.31184,1.74E-06,131.8,0.000393749,0.7089,0.4956,1.765,0.0247,254.2,5.92,57.4,1.586,0.2695,1560,152,,,5569,103,4.47,0.15,0.927,0.177,PC
11618601,2,,5.05373,3.34E-05,135.106,0.00479784,0.0009032,8610,2.771,0.3327,171.6,118.7,11.26,1.168,2.056,1010,214,,,5772,172,4.53,0.3,0.901,0.38,PC
4913000,1,,4.44251,2.15E-06,133.609,0.000327196,0.1244,3.831,1.919,0.03084,418.7,4.422,135.6,2.37,0.2156,1310,389,,,6553,203,4.39,0.35,1.148,0.677,AFP
7658578,5,,4.52136,2.79E-05,133.26,0.0159256,0.7004,1.078,9.124,1.074,117.1,6.862,19.69,1.697,0.4517,1470,412,,,6625,276,4.2,0.31,1.465,0.809,AFP
8411947,1,,0.898834,0,132.134,0,0.1,0,2,0,240200,0,-1,39.53,0,1620,0,,,5284,218,4.52,0.23,0.807,0.283,UNK
8196226,1,,4.02743,1.65E-05,133.124,0.00255889,0.5153,3.523,1.33,0.1076,94.11,9.683,11.7,1.048,0.507,1250,248,,,6163,188,4.4,0.27,1.042,0.409,PC
5374279,2,,0.877369,1.00E-05,132.006,0.00260129,0.03317,141.2,2.838,2.261,35.27,5.083,10.45,0.764,0.639,2450,641,,,6810,237,4.31,0.31,1.274,0.66,UNK
10525027,1,,3.27347,4.84E-06,134.445,0.000863661,0.5004,1.637,1.671,0.06958,244.4,8.248,35.29,0.7619,0.1651,633,30.3,,,3850,86,4.78,0.04,0.473,0.04,PC
5096095,1,,383.973,0.00698989,411.143,0.0117889,0.7556,0.7583,10.02,0.5396,82.14,24.43,3.925,81.99,37.5,1360,197,,,3774,106,0.84,0.03,81.96,23.38,NTP
11823661,1,,0.556109,1.12E-05,131.653,0.00210143,0.7,0.348,1.952,0.378,7.867,1.192,9.269,0.817,0.08408,5160,806,,,9111,384,3.86,0.25,2.71,0.816,UNK
6284363,1,,0.849639,1.28E-05,131.925,0.00424439,0.01657,386.3,3.518,6.421,23.38,3.116,9.212,1.015,1.038,3710,967,,,8749,386,4.12,0.34,2.064,1.059,UNK
7217483,1,,0.632675,8.05E-06,132.039,0.00193371,0.3031,8.633,1.918,0.8901,45.06,4.592,12.82,1.636,0.8069,3730,721,,,7163,320,3.91,0.23,2.385,0.897,UNK
7045435,1,,0.934795,0,132.339,0,0.1,0,1.5,0,1052,0,-1,3.433,0,2040,0,,,6018,170,4.33,0.23,1.053,0.35,UNK
9533489,3,,1.19042,2.91E-05,132.329,0.0109566,0.9028,0.9205,3.658,13.43,7.276,1.145,6.893,0.6065,0.4196,2740,997,,,7214,324,4.09,0.41,1.935,1.4,AFP
6130500,2,,0.570553,8.33E-06,132.002,0.00135804,0.6053,2.588,1.248,0.2785,195.1,21.87,12.83,2.813,1.123,3740,1120,,,7801,304,4.11,0.35,1.904,1.134,UNK
5547480,1,,3.97987,2.52E-06,132.071,0.000396698,0.7129,0.5119,1.685,0.1452,1168,16.61,84.92,3.579,0.5525,1170,250,,,6032,199,4.49,0.3,0.973,0.409,AFP
5976681,2,,0.585144,4.99E-06,131.965,0.000670716,0.1971,5.409,1.902,0.3121,358.5,22.53,20.33,4.643,0.8791,4150,829,,,7865,314,3.95,0.25,2.41,0.945,AFP
9369047,1,,0.903385,8.34E-06,132.416,0.00238614,0.9036,0.665,1.342,0.1149,307.1,41,11.47,6.968,3.883,3670,897,,,6648,272,3.6,0.43,3.389,1.635,AFP
9292130,1,,362.747,0.00680836,368.25,0.0140027,0.2969,25.09,12.36,2.156,135.9,21.2,7.134,2.541,4.111,384,9.46,,,6176,52,3.88,0.01,2.16,0.1,UNK
7137725,1,,2.25353,5.22E-06,132.485,0.00121418,0.514,0.9348,3.319,0.08414,86.34,3.131,30.21,1.322,0.1616,1780,529,,,6517,238,4.24,0.32,1.375,0.81,AFP
5771719,1,,12.2649,2.22E-06,139.304,0.000135421,0.8324,0.001362,4.768,0.008708,11380,21.79,607.4,15.62,0.02436,875,184,,,5654,161,4.22,0.23,1.284,0.536,AFP
8938937,1,,37.1086,0.000467962,166.234,0.010802,0.4852,14.21,4.322,1.637,428,46.91,9.108,1.808,3.959,492,94.9,,,5591,179,4.56,0.28,0.86,0.327,PC
5286045,2,,1.15444,1.31E-05,132.526,0.00398718,0.032,136.6,3.92,3.207,44.29,5.898,9.884,0.8632,0.6799,2230,483,,,6792,230,4.32,0.26,1.286,0.55,AFP
3967085,1,,1.01272,2.05E-05,132.429,0.00445882,0.1,80.12,3.409,5.202,19.6,4.421,5.541,0.6333,0.9201,2400,707,,,6832,280,4.3,0.35,1.418,0.827,NTP
6607357,2,,4.77464,3.46E-05,135.165,0.00519173,0.3291,7.323,3.717,0.165,47.32,3.889,12.65,0.7605,0.4718,1140,96.4,,,5727,113,4.33,0.12,1.104,0.182,PC
8984706,1,,10.1354,1.51E-07,132.324,1.20E-05,0.6933,0.01448,5.703,0.001295,257800,37,8473,88.55,1.326,1030,234,,,5895,177,4.1,0.29,1.415,0.633,AFP
3641726,1,,9.0293,1.63E-05,132.058,0.00139471,0.6906,0.7803,3.162,0.3308,1067,22.22,52.22,2.851,0.7425,758,135,,,5349,187,4.53,0.22,0.82,0.287,PC
9002237,2,,4.35011,2.75E-06,132.622,0.000412312,0.3151,2.286,1.841,0.08669,1027,15.27,72.11,3.087,0.5101,1140,222,,,6060,192,4.5,0.28,0.953,0.367,AFP
3003991,1,,7.24478,1.53E-07,131.86,1.76E-05,0.5362,0.0008835,3.407,0.001336,97490,30.53,4449,25.8,0.007515,825,162,,,5534,162,4.57,0.25,0.796,0.309,AFP
8230809,2,,2.03914,3.33E-06,132.169,0.000719481,0.3,2.235,5.408,0.2513,998,29.33,38.25,2.76,0.4231,1400,304,,,5872,190,4.48,0.28,0.867,0.372,UNK
8197761,1,,9.86867,2.06E-06,138.998,0.000165454,0.9906,0.007546,2.847,0.008337,5460,32.96,182.4,21.44,0.9552,1330,338,,,7301,325,4.11,0.29,1.717,0.858,PC
8519253,1,,5.93821,8.38E-06,136.528,0.00104653,0.9666,0.005029,2.407,0.07489,689.6,23.04,49.25,2.887,0.08606,996,214,,,6123,177,4.54,0.31,0.85,0.362,AFP
6205460,2,,3.72281,1.91E-06,132.78,0.000386015,0.6127,0.003868,9.915,0.01641,25870,209.7,362.5,43.57,0.1752,1730,447,,,5425,283,3.68,0.51,2.592,1.31,AFP
4679988,4,,1.34663,3.08E-05,132.312,0.0149201,0.9751,0.02025,2.576,0.7245,44.77,4.527,10.74,1.41,0.114,2350,500,,,6435,234,4.01,0.32,1.623,0.68,UNK
7174372,2,,0.569764,9.65E-06,131.947,0.00165045,0.1,49.4,1.116,0.2091,270.3,34.86,12.49,2.978,2.451,3550,938,,,7457,317,4.1,0.3,1.774,0.926,AFP
8219268,1,,6.24675,2.23E-05,136.379,0.0024649,0.8519,0.02802,10.43,0.06462,398.4,12.84,30.25,15.29,0.4535,1920,65.6,,,4605,97,2.94,0.01,6.528,0.352,PC
6441258,1,,0.83079,9.20E-06,132.36,0.00289908,0.9129,0.09131,2.535,0.8236,189.6,16.68,12.8,2.271,0.2174,2580,766,,,6768,286,4.25,0.33,1.401,0.823,AFP
6776331,2,,0.537055,4.47E-05,131.62,0.0068473,0.1,186.1,1.5,3.18,121.3,55.11,5.759,3.637,12.52,4930,932,,,7870,305,3.7,0.3,3.27,1.21,AFP
5174492,3,,0.720586,9.03E-06,131.632,0.00303339,0.7,1.813,2.569,2.518,55.01,6.304,13.05,1.759,0.715,3930,1180,,,8497,373,4.07,0.35,2.211,1.313,AFP
9414857,1,,2.43668,3.03E-05,131.85,0.00697386,0.7817,0.6966,8.08,5.151,16.76,2.174,7.831,0.588,0.1481,1710,571,,,6725,238,4.33,0.39,1.31,0.867,NTP
7060736,2,,3.47029,6.55E-05,131.833,0.013493,0.9015,0.2382,8.63,4.219,70.82,7.57,9.566,0.9384,0.1933,1270,266,,,6279,227,4.49,0.3,0.952,0.392,AFP
9851126,4,,8.4799,9.77E-05,136.546,0.0290892,0.1031,32.87,12.8,1.47,254.9,24.94,12.13,1.232,1.045,761,145,,,5378,213,4.57,0.22,0.786,0.294,AFP
12349560,1,,43.3971,0.000747749,153.937,0.0136896,0.9537,0.04032,5.045,0.8971,558.5,77.25,8.021,2.284,0.3149,388,27.8,,,4877,165,4.61,0.07,0.723,0.091,PC
8445775,1,,13.2541,4.21E-07,136.368,2.56E-05,0.9733,0.008431,4.326,0.002035,44970,14.46,3756,49.21,0.9304,991,225,,,6175,197,4.11,0.27,1.436,0.646,AFP
8891395,1,,491.259,0.024761,608.234,0.024177,0.5137,4.603,17.43,3.624,613.2,82.59,8.876,2.621,2.074,229,43.9,,,5615,177,4.4,0.25,1.038,0.392,UNK
6593353,1,,3.66215,4.88E-05,131.835,0.00880707,0.05533,96.43,10.29,7.048,29.93,3.291,10.83,0.812,0.7971,1600,469,,,6680,238,4.2,0.33,1.474,0.861,AFP
6887746,1,,373.998,0.00728804,430.978,0.0117487,0.4142,9.103,3.329,0.3626,85.32,32.3,3.687,35.54,56.41,1070,124,,,4237,114,1.46,0.03,39.25,8.846,NTP
9071386,1,,4.6933,4.67E-07,132.17,6.68E-05,0.3537,0.01749,5.163,0.008235,14380,23.15,2983,18.14,0.03245,1400,187,,,6351,164,4.21,0.17,1.491,0.392,AFP
5436502,2,,13.2335,5.10E-05,140.324,0.00319184,0.6994,0.5624,6.873,0.3784,519.4,14.11,37.11,3.365,0.6122,888,104,,,5739,115,4.19,0.14,1.384,0.318,PC
10989859,2,,1.03223,1.81E-05,132.421,0.00643095,0.9314,0.442,2.648,6.026,16.78,2.368,8.834,0.6233,0.2913,2490,630,,,7291,308,4.31,0.3,1.278,0.637,AFP
5954001,1,,11.693,0.000128439,142.672,0.00876526,0.4942,4.468,5.391,0.2834,71.45,6.975,10.25,1.489,0.9028,1080,226,,,5984,180,4,0.33,1.717,0.714,PC
6263470,1,,4.63368,1.89E-05,132.426,0.00276066,0.3599,3.195,8.247,0.4733,99.84,6.824,15.3,1.521,0.3644,1480,375,,,6609,208,4.17,0.28,1.493,0.749,NTP
4245701,2,,1.79577,1.60E-05,132.191,0.00366368,0.7017,0.9126,4.652,1.23,26.24,3.026,9.563,1.323,0.3024,2700,506,,,7164,255,3.84,0.3,2.411,0.886,AFP
8474900,1,,0.993908,1.25E-05,132.216,0.00166117,0.9186,0.3216,1.6,0.394,97.39,17.11,7.444,6.386,2.84,3630,1200,,,4904,136,2.93,0.39,5.201,3.43,UNK
6146838,1,,27.4672,1.06E-06,143.672,3.51E-05,0.9528,0.02058,4.201,0.002615,70710,30.44,3765,31.01,1.179,527,141,,,5503,186,4.54,0.46,0.742,0.393,UNK
2580872,2,,15.9266,8.24E-07,137.042,4.30E-05,0.9019,0.01776,11.11,0.005759,175100,50.78,4608,57.75,1.299,670,128,,,5496,168,4.47,0.25,0.917,0.345,AFP
2557335,1,,0.52007,9.55E-06,131.85,0.00578108,0.953,0.05808,1.366,0.6201,125.7,13.65,13.37,1.145,0.1429,2050,468,,,5569,191,4.5,0.28,0.802,0.362,UNK
8461529,4,,0.899131,0,132.067,0,0.1,0,2,0,520.2,0,-1,5.376,0,3120,0,,,6507,242,3.81,0.41,2.338,1.051,AFP
11601357,1,,3.55043,2.64E-05,133.746,0.00498237,0.5235,6.727,1.879,0.2814,225.8,32.82,8.227,1.229,1.446,1040,196,,,5489,196,4.57,0.23,0.798,0.296,UNK
12504988,1,,5.09394,2.73E-07,134.624,3.94E-05,0.6457,0.002036,3.946,0.003677,25270,16.56,1670,17.42,0.01125,1140,288,,,6197,202,4.45,0.32,1.035,0.519,AFP
8553907,1,,42.0329,0,133.561,0,0.1,0,7.5,0,401200,0,-1,77.42,0,696,0,,,6619,208,4.2,0.27,1.419,0.691,AFP
6357958,1,,1.61171,5.91E-05,131.629,0.0148904,0.04286,266.6,11.34,108.8,11.58,3.753,3.788,0.7036,1.352,2540,746,,,7187,337,4.04,0.34,2.044,1.187,NTP
3544689,1,,1.92287,1.56E-06,132.733,0.000444951,0.9266,0.00512,3.167,0.02496,1317,17.27,104.4,4.068,0.04343,1390,224,,,5778,182,4.53,0.24,0.911,0.287,AFP
8777609,3,,0.65223,1.58E-05,131.738,0.00627607,0.9,0.8234,2.105,6.202,81.23,14.86,8.434,12.18,7.647,6960,1390,,,6926,387,2.85,0.33,11.59,4.436,AFP
8322243,1,,0.550327,9.54E-06,131.665,0.00127334,0.7103,1.164,1.111,0.1647,205.8,24,12.86,4.095,1.149,4400,678,,,7843,308,3.88,0.23,2.643,0.788,AFP
5819178,3,,1.06828,1.62E-05,131.83,0.00627852,0.8915,0.7449,3.312,7.358,42.82,5.469,9.086,1.675,0.8681,3080,663,,,7282,322,3.96,0.25,2.216,0.933,UNK
3348090,1,,2.43584,8.75E-06,132.9,0.00195204,0.06749,64.28,2.026,0.06691,77.33,5.644,17.89,1.13,0.922,1690,462,,,6511,226,4.28,0.3,1.275,0.693,AFP
5428254,1,,0.544772,7.80E-06,131.986,0.0037862,0.9478,0.0238,1.436,0.2622,72.53,4.394,20.22,2.486,0.1121,4100,1000,,,7598,298,3.95,0.29,2.408,1.166,AFP
8346686,2,,0.517143,9.70E-06,131.638,0.00193561,0.689,0.9179,1.744,0.7306,34.11,4.087,14.23,1.97,0.4182,5110,905,,,8245,351,3.75,0.29,3.151,1.084,AFP
7841514,1,,0.860675,5.11E-06,132.063,0.00156483,0.6991,0.9626,2.363,0.6757,83.51,5.416,20.08,1.18,0.3064,2230,762,,,6234,239,4.32,0.36,1.207,0.819,AFP
6468848,1,,1.26964,2.26E-05,131.862,0.00811881,0.02525,355.4,4.971,11.51,10.87,1.747,7.344,0.9694,1.38,3890,633,,,8806,361,3.81,0.27,2.89,0.91,UNK
